Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano,Percentual,IDHM,IDHM_Renda,IDHM_Educacao,IDHM_Longevidade
Acre,2021,Outras idades,24,15699,0.15287597936174277,0.746,0.668,0.753,0.825
Alagoas,2000,10-14 anos,797,65763,1.2119276796983107,0.471,0.574,0.282,0.647
Alagoas,2000,15-19 anos,16368,65763,24.88937548469504,0.471,0.574,0.282,0.647
Alagoas,2000,20-24 anos,21781,65763,33.120447668141665,0.471,0.574,0.282,0.647
Alagoas,2000,25-29 anos,13600,65763,20.68032176147682,0.471,0.574,0.282,0.647
Alagoas,2000,30-34 anos,7623,65763,11.591624469686602,0.471,0.574,0.282,0.647
Alagoas,2000,35-39 anos,3912,65763,5.948633730213038,0.471,0.574,0.282,0.647
Alagoas,2000,40-44 anos,1239,65763,1.884038136946307,0.471,0.574,0.282,0.647
Alagoas,2000,Idade ignorada,261,65763,0.39687970439304776,0.471,0.574,0.282,0.647
Alagoas,2000,Outras idades,182,65763,0.2767513647491751,0.471,0.574,0.282,0.647
Alagoas,2010,10-14 anos,836,54164,1.543460601137287,0.631,0.641,0.52,0.755
Alagoas,2010,15-19 anos,12393,54164,22.880511040543535,0.631,0.641,0.52,0.755
Alagoas,2010,20-24 anos,16730,54164,30.887674470127763,0.631,0.641,0.52,0.755
Alagoas,2010,25-29 anos,12413,54164,22.917435935307584,0.631,0.641,0.52,0.755
Alagoas,2010,30-34 anos,7369,54164,13.604977475814195,0.631,0.641,0.52,0.755
Alagoas,2010,35-39 anos,3401,54164,6.27907835462669,0.631,0.641,0.52,0.755
Alagoas,2010,40-44 anos,947,54164,1.748393767077764,0.631,0.641,0.52,0.755
Alagoas,2010,Idade ignorada,1,54164,0.001846244738202496,0.631,0.641,0.52,0.755
Alagoas,2010,Outras idades,74,54164,0.13662211062698473,0.631,0.641,0.52,0.755
Alagoas,2017,10-14 anos,724,50368,1.437420584498094,0.68,0.637,0.635,0.776
Alagoas,2017,15-19 anos,11625,50368,23.080130241423124,0.68,0.637,0.635,0.776
Alagoas,2017,20-24 anos,14340,50368,28.47045743329098,0.68,0.637,0.635,0.776
Alagoas,2017,25-29 anos,10886,50368,21.612928843710293,0.68,0.637,0.635,0.776
Alagoas,2017,30-34 anos,7938,50368,15.760006353240152,0.68,0.637,0.635,0.776
Alagoas,2017,35-39 anos,3816,50368,7.576238881829733,0.68,0.637,0.635,0.776
Alagoas,2017,40-44 anos,991,50368,1.9675190597204573,0.68,0.637,0.635,0.776
Alagoas,2017,Outras idades,48,50368,0.09529860228716645,0.68,0.637,0.635,0.776
Alagoas,2018,10-14 anos,662,52496,1.2610484608351114,0.679,0.631,0.634,0.782
Alagoas,2018,15-19 anos,11278,52496,21.483541603169765,0.679,0.631,0.634,0.782
Alagoas,2018,20-24 anos,14696,52496,27.994513867723253,0.679,0.631,0.634,0.782
Alagoas,2018,25-29 anos,11516,52496,21.936909478817434,0.679,0.631,0.634,0.782
Alagoas,2018,30-34 anos,8775,52496,16.7155592807071,0.679,0.631,0.634,0.782
Alagoas,2018,35-39 anos,4465,52496,8.505409935995123,0.679,0.631,0.634,0.782
