Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano
Maranhão,2016,35-39 anos,6678,110493
Maranhão,2016,40-44 anos,1529,110493
Maranhão,2016,Menor de 10 anos,1,110493
Maranhão,2016,Outras idades,135,110493
Maranhão,2017,10-14 anos,1521,112985
Maranhão,2017,15-19 anos,26192,112985
Maranhão,2017,20-24 anos,32993,112985
Maranhão,2017,25-29 anos,25886,112985
Maranhão,2017,30-34 anos,17071,112985
Maranhão,2017,35-39 anos,7547,112985
Maranhão,2017,40-44 anos,1634,112985
Maranhão,2017,Outras idades,141,112985
Maranhão,2018,10-14 anos,1546,117156
Maranhão,2018,15-19 anos,26136,117156
Maranhão,2018,20-24 anos,33792,117156
Maranhão,2018,25-29 anos,26773,117156
Maranhão,2018,30-34 anos,18466,117156
Maranhão,2018,35-39 anos,8450,117156
Maranhão,2018,40-44 anos,1852,117156
Maranhão,2018,Outras idades,141,117156
Maranhão,2019,10-14 anos,1405,113317
Maranhão,2019,15-19 anos,24339,113317
Maranhão,2019,20-24 anos,32730,113317
Maranhão,2019,25-29 anos,25734,113317
Maranhão,2019,30-34 anos,18191,113317
Maranhão,2019,35-39 anos,8882,113317
Maranhão,2019,40-44 anos,1905,113317
Maranhão,2019,Outras idades,131,113317
Maranhão,2020,10-14 anos,1287,106079
Maranhão,2020,15-19 anos,21845,106079
Maranhão,2020,20-24 anos,30865,106079
Maranhão,2020,25-29 anos,24054,106079
Maranhão,2020,30-34 anos,17201,106079
Maranhão,2020,35-39 anos,8579,106079
Maranhão,2020,40-44 anos,2112,106079
Maranhão,2020,Outras idades,136,106079
Maranhão,2021,10-14 anos,1429,108667
Maranhão,2021,15-19 anos,22182,108667
Maranhão,2021,20-24 anos,31822,108667
Maranhão,2021,25-29 anos,24339,108667
Maranhão,2021,30-34 anos,17317,108667
Maranhão,2021,35-39 anos,9200,108667
Maranhão,2021,40-44 anos,2199,108667
Maranhão,2021,Outras idades,179,108667
Mato Grosso,2000,10-14 anos,705,49478
Mato Grosso,2000,15-19 anos,13983,49478
Mato Grosso,2000,20-24 anos,17736,49478
Mato Grosso,2000,25-29 anos,10153,49478
Mato Grosso,2000,30-34 anos,4539,49478
Mato Grosso,2000,35-39 anos,1817,49478
Mato Grosso,2000,40-44 anos,427,49478
Mato Grosso,2000,Idade ignorada,78,49478
Mato Grosso,2000,Outras idades,40,49478
Mato Grosso,2010,10-14 anos,560,48929
Mato Grosso,2010,15-19 anos,10241,48929
Mato Grosso,2010,20-24 anos,14755,48929
Mato Grosso,2010,25-29 anos,12483,48929
Mato Grosso,2010,30-34 anos,7470,48929
Mato Grosso,2010,35-39 anos,2818,48929
Mato Grosso,2010,40-44 anos,562,48929
Mato Grosso,2010,Outras idades,40,48929
Mato Grosso,2016,10-14 anos,544,53531
Mato Grosso,2016,15-19 anos,9504,53531
Mato Grosso,2016,20-24 anos,15005,53531
Mato Grosso,2016,25-29 anos,13356,53531
Mato Grosso,2016,30-34 anos,9678,53531
Mato Grosso,2016,35-39 anos,4470,53531
Mato Grosso,2016,40-44 anos,922,53531
Mato Grosso,2016,Outras idades,52,53531
Mato Grosso,2017,10-14 anos,518,57271
Mato Grosso,2017,15-19 anos,9430,57271
Mato Grosso,2017,20-24 anos,15851,57271
Mato Grosso,2017,25-29 anos,14554,57271
Mato Grosso,2017,30-34 anos,10728,57271
Mato Grosso,2017,35-39 anos,5062,57271
Mato Grosso,2017,40-44 anos,1059,57271
Mato Grosso,2017,Outras idades,69,57271
Mato Grosso,2018,10-14 anos,488,58649
Mato Grosso,2018,15-19 anos,9075,58649
Mato Grosso,2018,20-24 anos,15828,58649
Mato Grosso,2018,25-29 anos,14728,58649
Mato Grosso,2018,30-34 anos,11505,58649
Mato Grosso,2018,35-39 anos,5843,58649
Mato Grosso,2018,40-44 anos,1116,58649
Mato Grosso,2018,Outras idades,66,58649
Mato Grosso,2019,10-14 anos,491,58852
Mato Grosso,2019,15-19 anos,8916,58852
Mato Grosso,2019,20-24 anos,15514,58852
Mato Grosso,2019,25-29 anos,14848,58852
Mato Grosso,2019,30-34 anos,11547,58852
Mato Grosso,2019,35-39 anos,6062,58852
Mato Grosso,2019,40-44 anos,1398,58852
Mato Grosso,2019,Idade ignorada,1,58852
Mato Grosso,2019,Outras idades,75,58852
Mato Grosso,2020,10-14 anos,445,57037
Mato Grosso,2020,15-19 anos,8318,57037
Mato Grosso,2020,20-24 anos,15085,57037
Mato Grosso,2020,25-29 anos,14487,57037
Mato Grosso,2020,30-34 anos,11077,57037
Mato Grosso,2020,35-39 anos,6111,57037
Mato Grosso,2020,40-44 anos,1417,57037
Mato Grosso,2020,Outras idades,97,57037
Mato Grosso,2021,10-14 anos,491,57841
Mato Grosso,2021,15-19 anos,8524,57841
Mato Grosso,2021,20-24 anos,15296,57841
Mato Grosso,2021,25-29 anos,14636,57841
Mato Grosso,2021,30-34 anos,11224,57841
Mato Grosso,2021,35-39 anos,6067,57841
Mato Grosso,2021,40-44 anos,1515,57841
Mato Grosso,2021,Idade ignorada,2,57841
Mato Grosso,2021,Outras idades,86,57841
Mato Grosso do Sul,2000,10-14 anos,590,40490
Mato Grosso do Sul,2000,15-19 anos,10794,40490
Mato Grosso do Sul,2000,20-24 anos,13167,40490
Mato Grosso do Sul,2000,25-29 anos,8709,40490
Mato Grosso do Sul,2000,30-34 anos,4600,40490
Mato Grosso do Sul,2000,35-39 anos,1968,40490
Mato Grosso do Sul,2000,40-44 anos,442,40490
Mato Grosso do Sul,2000,Idade ignorada,186,40490
Mato Grosso do Sul,2000,Outras idades,34,40490
Mato Grosso do Sul,2010,10-14 anos,524,40132
Mato Grosso do Sul,2010,15-19 anos,8465,40132
Mato Grosso do Sul,2010,20-24 anos,11471,40132
Mato Grosso do Sul,2010,25-29 anos,10050,40132
Mato Grosso do Sul,2010,30-34 anos,6265,40132
Mato Grosso do Sul,2010,35-39 anos,2670,40132
Mato Grosso do Sul,2010,40-44 anos,626,40132
Mato Grosso do Sul,2010,Outras idades,61,40132
Mato Grosso do Sul,2016,10-14 anos,463,42432
Mato Grosso do Sul,2016,15-19 anos,7613,42432
Mato Grosso do Sul,2016,20-24 anos,11574,42432
Mato Grosso do Sul,2016,25-29 anos,10117,42432
Mato Grosso do Sul,2016,30-34 anos,7891,42432
Mato Grosso do Sul,2016,35-39 anos,3857,42432
Mato Grosso do Sul,2016,40-44 anos,853,42432
Mato Grosso do Sul,2016,Outras idades,64,42432
Mato Grosso do Sul,2017,10-14 anos,475,44747
Mato Grosso do Sul,2017,15-19 anos,7422,44747
Mato Grosso do Sul,2017,20-24 anos,11962,44747
Mato Grosso do Sul,2017,25-29 anos,10949,44747
Mato Grosso do Sul,2017,30-34 anos,8513,44747
Mato Grosso do Sul,2017,35-39 anos,4460,44747
Mato Grosso do Sul,2017,40-44 anos,908,44747
Mato Grosso do Sul,2017,Outras idades,58,44747
Mato Grosso do Sul,2018,10-14 anos,391,44275
Mato Grosso do Sul,2018,15-19 anos,7056,44275
Mato Grosso do Sul,2018,20-24 anos,11494,44275
Mato Grosso do Sul,2018,25-29 anos,10653,44275
Mato Grosso do Sul,2018,30-34 anos,8699,44275
Mato Grosso do Sul,2018,35-39 anos,4914,44275
Mato Grosso do Sul,2018,40-44 anos,1019,44275
Mato Grosso do Sul,2018,Outras idades,49,44275
Mato Grosso do Sul,2019,10-14 anos,372,43695
Mato Grosso do Sul,2019,15-19 anos,6696,43695
Mato Grosso do Sul,2019,20-24 anos,11183,43695
Mato Grosso do Sul,2019,25-29 anos,10695,43695
Mato Grosso do Sul,2019,30-34 anos,8569,43695
Mato Grosso do Sul,2019,35-39 anos,4949,43695
Mato Grosso do Sul,2019,40-44 anos,1162,43695
Mato Grosso do Sul,2019,Outras idades,69,43695
Mato Grosso do Sul,2020,10-14 anos,355,41308
Mato Grosso do Sul,2020,15-19 anos,5947,41308
Mato Grosso do Sul,2020,20-24 anos,10618,41308
Mato Grosso do Sul,2020,25-29 anos,10250,41308
Mato Grosso do Sul,2020,30-34 anos,8187,41308
Mato Grosso do Sul,2020,35-39 anos,4707,41308
Mato Grosso do Sul,2020,40-44 anos,1177,41308
Mato Grosso do Sul,2020,Outras idades,67,41308
Mato Grosso do Sul,2021,10-14 anos,327,42173
Mato Grosso do Sul,2021,15-19 anos,5978,42173
Mato Grosso do Sul,2021,20-24 anos,10795,42173
Mato Grosso do Sul,2021,25-29 anos,10752,42173
Mato Grosso do Sul,2021,30-34 anos,8187,42173
Mato Grosso do Sul,2021,35-39 anos,4869,42173
Mato Grosso do Sul,2021,40-44 anos,1212,42173
Mato Grosso do Sul,2021,Outras idades,53,42173
Minas Gerais,2000,10-14 anos,1745,300958
Minas Gerais,2000,15-19 anos,59934,300958
Minas Gerais,2000,20-24 anos,93206,300958
Minas Gerais,2000,25-29 anos,70607,300958
Minas Gerais,2000,30-34 anos,45270,300958
Minas Gerais,2000,35-39 anos,22090,300958
Minas Gerais,2000,40-44 anos,5758,300958
Minas Gerais,2000,Idade ignorada,1878,300958
Minas Gerais,2000,Outras idades,470,300958
Minas Gerais,2010,10-14 anos,1599,255126
Minas Gerais,2010,15-19 anos,41304,255126
Minas Gerais,2010,20-24 anos,67305,255126
Minas Gerais,2010,25-29 anos,65701,255126
Minas Gerais,2010,30-34 anos,49100,255126
Minas Gerais,2010,35-39 anos,23600,255126
Minas Gerais,2010,40-44 anos,6102,255126
Minas Gerais,2010,Idade ignorada,8,255126
Minas Gerais,2010,Outras idades,407,255126
Minas Gerais,2016,10-14 anos,1401,253520
Minas Gerais,2016,15-19 anos,35660,253520
Minas Gerais,2016,20-24 anos,60175,253520
Minas Gerais,2016,25-29 anos,62435,253520
Minas Gerais,2016,30-34 anos,55115,253520
Minas Gerais,2016,35-39 anos,31183,253520
Minas Gerais,2016,40-44 anos,7119,253520
Minas Gerais,2016,Outras idades,432,253520
Minas Gerais,2017,10-14 anos,1309,260959
Minas Gerais,2017,15-19 anos,34737,260959
Minas Gerais,2017,20-24 anos,61153,260959
Minas Gerais,2017,25-29 anos,63971,260959
Minas Gerais,2017,30-34 anos,56968,260959
Minas Gerais,2017,35-39 anos,34526,260959
Minas Gerais,2017,40-44 anos,7811,260959
Minas Gerais,2017,Idade ignorada,2,260959
Minas Gerais,2017,Outras idades,482,260959
Minas Gerais,2018,10-14 anos,1202,263640
Minas Gerais,2018,15-19 anos,32707,263640
Minas Gerais,2018,20-24 anos,59454,263640
Minas Gerais,2018,25-29 anos,63620,263640
Minas Gerais,2018,30-34 anos,59809,263640
Minas Gerais,2018,35-39 anos,37640,263640
Minas Gerais,2018,40-44 anos,8735,263640
Minas Gerais,2018,Outras idades,473,263640
Minas Gerais,2019,10-14 anos,1149,256892
Minas Gerais,2019,15-19 anos,30123,256892
Minas Gerais,2019,20-24 anos,57913,256892
Minas Gerais,2019,25-29 anos,61741,256892
Minas Gerais,2019,30-34 anos,58833,256892
Minas Gerais,2019,35-39 anos,37333,256892
Minas Gerais,2019,40-44 anos,9248,256892
Minas Gerais,2019,Outras idades,552,256892
Minas Gerais,2020,10-14 anos,1002,247198
Minas Gerais,2020,15-19 anos,27298,247198
Minas Gerais,2020,20-24 anos,55918,247198
Minas Gerais,2020,25-29 anos,60250,247198
Minas Gerais,2020,30-34 anos,56853,247198
Minas Gerais,2020,35-39 anos,35816,247198
Minas Gerais,2020,40-44 anos,9516,247198
Minas Gerais,2020,Idade ignorada,1,247198
Minas Gerais,2020,Outras idades,544,247198
Minas Gerais,2021,10-14 anos,908,242136
Minas Gerais,2021,15-19 anos,25653,242136
Minas Gerais,2021,20-24 anos,55305,242136
Minas Gerais,2021,25-29 anos,60032,242136
Minas Gerais,2021,30-34 anos,54220,242136
Minas Gerais,2021,35-39 anos,35666,242136
Minas Gerais,2021,40-44 anos,9788,242136
Minas Gerais,2021,Outras idades,564,242136
Paraná,2000,10-14 anos,1529,179462
Paraná,2000,15-19 anos,38645,179462
Paraná,2000,20-24 anos,52404,179462
Paraná,2000,25-29 anos,42455,179462
Paraná,2000,30-34 anos,28062,179462
Paraná,2000,35-39 anos,12721,179462
Paraná,2000,40-44 anos,3126,179462
Paraná,2000,Idade ignorada,275,179462
Paraná,2000,Outras idades,245,179462
Paraná,2010,10-14 anos,1284,152051
Paraná,2010,15-19 anos,27761,152051
Paraná,2010,20-24 anos,39397,152051
Paraná,2010,25-29 anos,38094,152051
Paraná,2010,30-34 anos,28353,152051
Paraná,2010,35-39 anos,13651,152051
Paraná,2010,40-44 anos,3293,152051
Paraná,2010,Idade ignorada,4,152051
Paraná,2010,Outras idades,214,152051
Paraná,2016,10-14 anos,943,155066
Paraná,2016,15-19 anos,23063,155066
Paraná,2016,20-24 anos,38001,155066
Paraná,2016,25-29 anos,38693,155066
Paraná,2016,30-34 anos,32717,155066
Paraná,2016,35-39 anos,17401,155066
Paraná,2016,40-44 anos,4025,155066
Paraná,2016,Idade ignorada,2,155066
Paraná,2016,Outras idades,221,155066
Paraná,2017,10-14 anos,877,157701
Paraná,2017,15-19 anos,21444,157701
Paraná,2017,20-24 anos,38525,157701
Paraná,2017,25-29 anos,39654,157701
Paraná,2017,30-34 anos,33710,157701
Paraná,2017,35-39 anos,18968,157701
Paraná,2017,40-44 anos,4253,157701
Paraná,2017,Idade ignorada,6,157701
Paraná,2017,Outras idades,264,157701
Paraná,2018,10-14 anos,751,156201
Paraná,2018,15-19 anos,19869,156201
Paraná,2018,20-24 anos,37302,156201
Paraná,2018,25-29 anos,39321,156201
Paraná,2018,30-34 anos,34089,156201
Paraná,2018,35-39 anos,20054,156201
Paraná,2018,40-44 anos,4547,156201
Paraná,2018,Outras idades,268,156201
Paraná,2019,10-14 anos,714,153469
Paraná,2019,15-19 anos,18167,153469
Paraná,2019,20-24 anos,36338,153469
Paraná,2019,25-29 anos,38848,153469
Paraná,2019,30-34 anos,34126,153469
Paraná,2019,35-39 anos,20207,153469
Paraná,2019,40-44 anos,4801,153469
Paraná,2019,Idade ignorada,2,153469
Paraná,2019,Outras idades,266,153469
Paraná,2020,10-14 anos,629,146291
Paraná,2020,15-19 anos,15958,146291
Paraná,2020,20-24 anos,34901,146291
Paraná,2020,25-29 anos,37516,146291
Paraná,2020,30-34 anos,32590,146291
Paraná,2020,35-39 anos,19549,146291
Paraná,2020,40-44 anos,4865,146291
Paraná,2020,Idade ignorada,2,146291
Paraná,2020,Outras idades,281,146291
Paraná,2021,10-14 anos,604,141976
Paraná,2021,15-19 anos,15186,141976
Paraná,2021,20-24 anos,33923,141976
Paraná,2021,25-29 anos,36665,141976
Paraná,2021,30-34 anos,31578,141976
Paraná,2021,35-39 anos,18811,141976
Paraná,2021,40-44 anos,4943,141976
Paraná,2021,Outras idades,266,141976
Paraíba,2000,10-14 anos,622,57427
Paraíba,2000,15-19 anos,13882,57427
Paraíba,2000,20-24 anos,18681,57427
Paraíba,2000,25-29 anos,12092,57427
Paraíba,2000,30-34 anos,6679,57427
Paraíba,2000,35-39 anos,3340,57427
Paraíba,2000,40-44 anos,1006,57427
Paraíba,2000,Idade ignorada,1018,57427
Paraíba,2000,Outras idades,107,57427
Paraíba,2010,10-14 anos,605,58699
Paraíba,2010,15-19 anos,11116,58699
Paraíba,2010,20-24 anos,17285,58699
Paraíba,2010,25-29 anos,14627,58699
Paraíba,2010,30-34 anos,9538,58699
Paraíba,2010,35-39 anos,4289,58699
Paraíba,2010,40-44 anos,1160,58699
Paraíba,2010,Outras idades,79,58699
Paraíba,2016,10-14 anos,581,56083
Paraíba,2016,15-19 anos,10098,56083
Paraíba,2016,20-24 anos,14647,56083
Paraíba,2016,25-29 anos,13436,56083
Paraíba,2016,30-34 anos,10625,56083
Paraíba,2016,35-39 anos,5277,56083
Paraíba,2016,40-44 anos,1331,56083
Paraíba,2016,Outras idades,88,56083
Paraíba,2017,10-14 anos,550,57493
Paraíba,2017,15-19 anos,9854,57493
Paraíba,2017,20-24 anos,14792,57493
Paraíba,2017,25-29 anos,13872,57493
Paraíba,2017,30-34 anos,11078,57493
Paraíba,2017,35-39 anos,5855,57493
Paraíba,2017,40-44 anos,1414,57493
Paraíba,2017,Outras idades,78,57493
Paraíba,2018,10-14 anos,468,60205
Paraíba,2018,15-19 anos,9729,60205
Paraíba,2018,20-24 anos,14924,60205
Paraíba,2018,25-29 anos,14258,60205
Paraíba,2018,30-34 anos,12382,60205
Paraíba,2018,35-39 anos,6777,60205
Paraíba,2018,40-44 anos,1587,60205
Paraíba,2018,Outras idades,80,60205
Paraíba,2019,10-14 anos,473,57701
Paraíba,2019,15-19 anos,8978,57701
Paraíba,2019,20-24 anos,14062,57701
Paraíba,2019,25-29 anos,13671,57701
Paraíba,2019,30-34 anos,12072,57701
Paraíba,2019,35-39 anos,6718,57701
Paraíba,2019,40-44 anos,1625,57701
Paraíba,2019,Outras idades,102,57701
Paraíba,2020,10-14 anos,436,56379
Paraíba,2020,15-19 anos,8419,56379
Paraíba,2020,20-24 anos,13795,56379
Paraíba,2020,25-29 anos,13579,56379
Paraíba,2020,30-34 anos,11581,56379
Paraíba,2020,35-39 anos,6678,56379
Paraíba,2020,40-44 anos,1791,56379
Paraíba,2020,Outras idades,100,56379
Paraíba,2021,10-14 anos,385,56049
Paraíba,2021,15-19 anos,8456,56049
Paraíba,2021,20-24 anos,13623,56049
Paraíba,2021,25-29 anos,13643,56049
Paraíba,2021,30-34 anos,11119,56049
Paraíba,2021,35-39 anos,6781,56049
Paraíba,2021,40-44 anos,1906,56049
Paraíba,2021,Outras idades,136,56049
Pará,2000,10-14 anos,1822,126340
Pará,2000,15-19 anos,37730,126340
Pará,2000,20-24 anos,44579,126340
Pará,2000,25-29 anos,23950,126340
Pará,2000,30-34 anos,11120,126340
Pará,2000,35-39 anos,5093,126340
Pará,2000,40-44 anos,1640,126340
Pará,2000,Idade ignorada,242,126340
Pará,2000,Outras idades,164,126340
Pará,2010,10-14 anos,2289,140687
Pará,2010,15-19 anos,36292,140687
Pará,2010,20-24 anos,46398,140687
Pará,2010,25-29 anos,31299,140687
Pará,2010,30-34 anos,16037,140687
Pará,2010,35-39 anos,6414,140687
Pará,2010,40-44 anos,1789,140687
Pará,2010,Outras idades,169,140687
Pará,2016,10-14 anos,2178,137681
Pará,2016,15-19 anos,33254,137681
Pará,2016,20-24 anos,42122,137681
Pará,2016,25-29 anos,30220,137681
Pará,2016,30-34 anos,19176,137681
Pará,2016,35-39 anos,8501,137681
Pará,2016,40-44 anos,2051,137681
Pará,2016,Idade ignorada,4,137681
Pará,2016,Outras idades,175,137681
Pará,2017,10-14 anos,1867,138684
Pará,2017,15-19 anos,31949,138684
Pará,2017,20-24 anos,42050,138684
Pará,2017,25-29 anos,30841,138684
Pará,2017,30-34 anos,20158,138684
Pará,2017,35-39 anos,9367,138684
Pará,2017,40-44 anos,2268,138684
Pará,2017,Idade ignorada,2,138684
Pará,2017,Outras idades,182,138684
Pará,2018,10-14 anos,1887,141819
Pará,2018,15-19 anos,31438,141819
Pará,2018,20-24 anos,42735,141819
Pará,2018,25-29 anos,32025,141819
Pará,2018,30-34 anos,21050,141819
Pará,2018,35-39 anos,10106,141819
Pará,2018,40-44 anos,2391,141819
Pará,2018,Idade ignorada,1,141819
Pará,2018,Outras idades,186,141819
Pará,2019,10-14 anos,1816,138341
Pará,2019,15-19 anos,29504,138341
Pará,2019,20-24 anos,41002,138341
Pará,2019,25-29 anos,31797,138341
Pará,2019,30-34 anos,20956,138341
Pará,2019,35-39 anos,10575,138341
Pará,2019,40-44 anos,2486,138341
Pará,2019,Idade ignorada,4,138341
Pará,2019,Menor de 10 anos,2,138341
Pará,2019,Outras idades,199,138341
Pará,2020,10-14 anos,1670,132938
Pará,2020,15-19 anos,27588,132938
Pará,2020,20-24 anos,39333,132938
Pará,2020,25-29 anos,30836,132938
Pará,2020,30-34 anos,20226,132938
Pará,2020,35-39 anos,10387,132938
Pará,2020,40-44 anos,2692,132938
Pará,2020,Idade ignorada,6,132938
Pará,2020,Outras idades,200,132938
Pará,2021,10-14 anos,1783,137129
Pará,2021,15-19 anos,28177,137129
Pará,2021,20-24 anos,40141,137129
Pará,2021,25-29 anos,32174,137129
Pará,2021,30-34 anos,20801,137129
Pará,2021,35-39 anos,10921,137129
Pará,2021,40-44 anos,2927,137129
Pará,2021,Idade ignorada,3,137129
Pará,2021,Menor de 10 anos,1,137129
Pará,2021,Outras idades,201,137129
Pernambuco,2000,10-14 anos,1643,163405
Pernambuco,2000,15-19 anos,39507,163405
Pernambuco,2000,20-24 anos,53706,163405
Pernambuco,2000,25-29 anos,36136,163405
Pernambuco,2000,30-34 anos,19361,163405
Pernambuco,2000,35-39 anos,9597,163405
Pernambuco,2000,40-44 anos,2743,163405
Pernambuco,2000,Idade ignorada,386,163405
Pernambuco,2000,Outras idades,326,163405
Pernambuco,2010,10-14 anos,1487,136591
Pernambuco,2010,15-19 anos,27649,136591
Pernambuco,2010,20-24 anos,40512,136591
Pernambuco,2010,25-29 anos,33506,136591
Pernambuco,2010,30-34 anos,21124,136591
Pernambuco,2010,35-39 anos,9646,136591
Pernambuco,2010,40-44 anos,2462,136591
Pernambuco,2010,Idade ignorada,5,136591
Pernambuco,2010,Outras idades,200,136591
Pernambuco,2016,10-14 anos,1298,130733
Pernambuco,2016,15-19 anos,25751,130733
Pernambuco,2016,20-24 anos,35486,130733
Pernambuco,2016,25-29 anos,30788,130733
Pernambuco,2016,30-34 anos,22944,130733
Pernambuco,2016,35-39 anos,11370,130733
Pernambuco,2016,40-44 anos,2924,130733
Pernambuco,2016,Outras idades,172,130733
Pernambuco,2017,10-14 anos,1233,135932
Pernambuco,2017,15-19 anos,25210,135932
Pernambuco,2017,20-24 anos,36279,135932
Pernambuco,2017,25-29 anos,32466,135932
Pernambuco,2017,30-34 anos,24569,135932
Pernambuco,2017,35-39 anos,12936,135932
Pernambuco,2017,40-44 anos,3047,135932
Pernambuco,2017,Outras idades,192,135932
Pernambuco,2018,10-14 anos,1222,138317
Pernambuco,2018,15-19 anos,23727,138317
Pernambuco,2018,20-24 anos,36309,138317
Pernambuco,2018,25-29 anos,32703,138317
Pernambuco,2018,30-34 anos,26340,138317
Pernambuco,2018,35-39 anos,14533,138317
Pernambuco,2018,40-44 anos,3287,138317
Pernambuco,2018,Idade ignorada,1,138317
Pernambuco,2018,Outras idades,195,138317
Pernambuco,2019,10-14 anos,1091,133359
Pernambuco,2019,15-19 anos,21886,133359
Pernambuco,2019,20-24 anos,34584,133359
Pernambuco,2019,25-29 anos,31399,133359
Pernambuco,2019,30-34 anos,26010,133359
Pernambuco,2019,35-39 anos,14462,133359
Pernambuco,2019,40-44 anos,3678,133359
Pernambuco,2019,Outras idades,249,133359
Pernambuco,2020,10-14 anos,960,128481
Pernambuco,2020,15-19 anos,20425,128481
Pernambuco,2020,20-24 anos,33715,128481
Pernambuco,2020,25-29 anos,30648,128481
Pernambuco,2020,30-34 anos,24764,128481
Pernambuco,2020,35-39 anos,14098,128481
Pernambuco,2020,40-44 anos,3640,128481
Pernambuco,2020,Idade ignorada,1,128481
Pernambuco,2020,Outras idades,230,128481
Pernambuco,2021,10-14 anos,1000,126211
Pernambuco,2021,15-19 anos,19436,126211
Pernambuco,2021,20-24 anos,32910,126211
Pernambuco,2021,25-29 anos,30474,126211
Pernambuco,2021,30-34 anos,24161,126211
Pernambuco,2021,35-39 anos,14108,126211
Pernambuco,2021,40-44 anos,3875,126211
Pernambuco,2021,Outras idades,247,126211
Piauí,2000,10-14 anos,665,58615
Piauí,2000,15-19 anos,15897,58615
Piauí,2000,20-24 anos,20673,58615
Piauí,2000,25-29 anos,11227,58615
Piauí,2000,30-34 anos,5742,58615
Piauí,2000,35-39 anos,2804,58615
Piauí,2000,40-44 anos,912,58615
Piauí,2000,Idade ignorada,593,58615
Piauí,2000,Outras idades,102,58615
Piauí,2010,10-14 anos,579,49424
Piauí,2010,15-19 anos,10529,49424
Piauí,2010,20-24 anos,15932,49424
Piauí,2010,25-29 anos,12034,49424
Piauí,2010,30-34 anos,6835,49424
Piauí,2010,35-39 anos,2762,49424
Piauí,2010,40-44 anos,687,49424
Piauí,2010,Idade ignorada,1,49424
Piauí,2010,Outras idades,65,49424
Piauí,2016,10-14 anos,576,46986
Piauí,2016,15-19 anos,9554,46986
Piauí,2016,20-24 anos,12432,46986
Piauí,2016,25-29 anos,11319,46986
Piauí,2016,30-34 anos,8316,46986
Piauí,2016,35-39 anos,3858,46986
Piauí,2016,40-44 anos,874,46986
Piauí,2016,Outras idades,57,46986
Piauí,2017,10-14 anos,538,48551
Piauí,2017,15-19 anos,9359,48551
Piauí,2017,20-24 anos,12686,48551
Piauí,2017,25-29 anos,11733,48551
Piauí,2017,30-34 anos,9124,48551
Piauí,2017,35-39 anos,4145,48551
Piauí,2017,40-44 anos,914,48551
Piauí,2017,Outras idades,52,48551
Piauí,2018,10-14 anos,469,49490
Piauí,2018,15-19 anos,9069,49490
Piauí,2018,20-24 anos,12938,49490
Piauí,2018,25-29 anos,11569,49490
Piauí,2018,30-34 anos,9562,49490
Piauí,2018,35-39 anos,4768,49490
Piauí,2018,40-44 anos,1058,49490
Piauí,2018,Idade ignorada,1,49490
Piauí,2018,Outras idades,56,49490
Piauí,2019,10-14 anos,417,47933
Piauí,2019,15-19 anos,8384,47933
Piauí,2019,20-24 anos,12481,47933
Piauí,2019,25-29 anos,11069,47933
Piauí,2019,30-34 anos,9545,47933
Piauí,2019,35-39 anos,4829,47933
Piauí,2019,40-44 anos,1127,47933
Piauí,2019,Outras idades,81,47933
Piauí,2020,10-14 anos,416,45229
Piauí,2020,15-19 anos,7499,45229
Piauí,2020,20-24 anos,11758,45229
Piauí,2020,25-29 anos,10475,45229
Piauí,2020,30-34 anos,8977,45229
Piauí,2020,35-39 anos,4865,45229
Piauí,2020,40-44 anos,1160,45229
Piauí,2020,Outras idades,79,45229
Piauí,2021,10-14 anos,400,45978
Piauí,2021,15-19 anos,7509,45978
Piauí,2021,20-24 anos,12043,45978
Piauí,2021,25-29 anos,10790,45978
Piauí,2021,30-34 anos,8823,45978
Piauí,2021,35-39 anos,5068,45978
Piauí,2021,40-44 anos,1279,45978
Piauí,2021,Outras idades,66,45978
Rio Grande do Norte,2000,10-14 anos,668,56444
Rio Grande do Norte,2000,15-19 anos,13642,56444
Rio Grande do Norte,2000,20-24 anos,17421,56444
Rio Grande do Norte,2000,25-29 anos,12232,56444
Rio Grande do Norte,2000,30-34 anos,7553,56444
Rio Grande do Norte,2000,35-39 anos,3637,56444
Rio Grande do Norte,2000,40-44 anos,921,56444
Rio Grande do Norte,2000,Idade ignorada,281,56444
Rio Grande do Norte,2000,Outras idades,89,56444
Rio Grande do Norte,2010,10-14 anos,562,47668
Rio Grande do Norte,2010,15-19 anos,9223,47668
Rio Grande do Norte,2010,20-24 anos,13877,47668
Rio Grande do Norte,2010,25-29 anos,11736,47668
Rio Grande do Norte,2010,30-34 anos,7708,47668
Rio Grande do Norte,2010,35-39 anos,3554,47668
Rio Grande do Norte,2010,40-44 anos,923,47668
Rio Grande do Norte,2010,Outras idades,85,47668
Rio Grande do Norte,2016,10-14 anos,478,45366
Rio Grande do Norte,2016,15-19 anos,8258,45366
Rio Grande do Norte,2016,20-24 anos,11646,45366
Rio Grande do Norte,2016,25-29 anos,10792,45366
Rio Grande do Norte,2016,30-34 anos,8641,45366
Rio Grande do Norte,2016,35-39 anos,4424,45366
Rio Grande do Norte,2016,40-44 anos,1058,45366
Rio Grande do Norte,2016,Outras idades,69,45366
Rio Grande do Norte,2017,10-14 anos,407,46222
Rio Grande do Norte,2017,15-19 anos,7828,46222
Rio Grande do Norte,2017,20-24 anos,11794,46222
Rio Grande do Norte,2017,25-29 anos,10875,46222
